y,uz
-0.5876567020250749, -0.1253508107626513
-0.5703310832529755, -0.12775191553813237
-0.5530054644808766, -0.13195384889522455
-0.5356798457087777, -0.13675605844618666
-0.5183542269366788, -0.1391571632216677
-0.5010286081645798, -0.14275882038488952
-0.48370298939248, -0.1457602013542405
-0.4663773706203811, -0.14876158232359193
-0.44905175184828217, -0.15536462045616517
-0.43172613307618324, -0.1595665538132569
-0.4144005143040843, -0.16917097291518157
-0.3970748955319854, -0.17517373485388443
-0.37974927675988557, -0.18837981111903046
-0.36242365798778664, -0.2009856111903061
-0.3450980392156877, -0.21239085887384146
-0.32993812279010104, -0.22399619862199982
-0.3097249008893188, -0.23680209075789982
-0.29312118289939093, -0.24960798289379849
-0.27796126647380426, -0.2664157163221663
-0.26496705239472984, -0.28322344975053415
-0.2519728383156554, -0.3048333927298641
-0.238978624236581, -0.3288444404846751
-0.2303158148505311, -0.34865355488239436
-0.21948730311796982, -0.36726211689237287
-0.20865879138540766, -0.3880716916132094
-0.1978302796528455, -0.4080808980755517
-0.18700176792028333, -0.4264893680209072
-0.17400755384120892, -0.44249673319078076
-0.15451623272259774, -0.44589829828937955
-0.14152201864352332, -0.43329249821810345
-0.13502491160398655, -0.4200864219529574
-0.1285278045644489, -0.3984764789736275
-0.12058689596057093, -0.3728646947018288
-0.11553359048537537, -0.3456521739130429
-0.11120218579234997, -0.3228416785459727
-0.10687078109932546, -0.30123173556664273
-0.10253937640630095, -0.27962179258731235
-0.0960422693667633, -0.24080393205036765
-0.1003736740597887, -0.26401461154668526
-0.09171086467373879, -0.21659279223093364
-0.08737945998071428, -0.18837981111903046
-0.08088235294117663, -0.14035771560940802
-0.08304805528768888, -0.16076710620099766
-0.07655094824815212, -0.10073948681396994
-0.07871665059466437, -0.12475053456878094
-0.07438524590163986, -0.07672843905915894
-0.06788813886210221, -0.034709105488239356
-0.07005384120861446, -0.05751960085531005
-0.06283483338690665, 0.005709491565692559
-0.06572243651558995, -0.019101924447612273
-0.05922532947605319, 0.03852459016393439
-0.05489392478302779, 0.069738952245189
-0.05056252009000328, 0.10335441910192422
-0.04623111539697877, 0.13576933357091914
-0.04189971070395426, 0.16218148610121164
-0.037568306010928865, 0.18739308624376338
-0.03540260366441661, 0.20660192444761227
-0.028183595842708797, 0.24501960085531005
-0.0310711989713921, 0.22180892135899244
-0.020964588021000985, 0.2770343311950576
-0.015911282545805427, 0.30264611546685627
-0.011579877852780918, 0.3266571632216677
-0.006526572377584472, 0.3514685792349721
0.0006924354441224523, 0.37307852221430204
0.010077145612343408, 0.39989085887384146
0.023071359691417825, 0.4166985923022093
0.04039697846351675, 0.4178991446899496
0.055556894889103425, 0.4034925160370628
0.06205400192864019, 0.38668478260869543
0.07721391835422775, 0.3690766809218342
0.08443292617593556, 0.3506682109764787
0.09670523947283893, 0.33265992516037013
0.1075337512054011, 0.31145016631028755
0.12269366763098777, 0.29124086778332137
0.1400192864030867, 0.2714317533856021
0.15734490517518562, 0.2522229151817532
0.17467052394728455, 0.23301407697790433
0.19199614271938348, 0.21320496258018506
0.2093217614914824, 0.1987983339272983
0.22664738026358222, 0.186792810049893
0.24397299903568115, 0.18018977191731977
0.2612986178077801, 0.17778866714183872
0.278624236579879, 0.17778866714183872
0.29594985535197793, 0.17778866714183872
0.31327547412407686, 0.17538756236635766
0.3306010928961767, 0.17238618139700623
0.3479267116682756, 0.16998507662152518
0.36525233044037453, 0.16518286707056307
0.38257794921247346, 0.15978038132573058
0.3999035679845724, 0.15317734319315734
0.4172291867566722, 0.14657430506058455
0.4345548055287711, 0.13997126692801132
0.4497147219543578, 0.1369698859586599
0.469206043072969, 0.12976657163221672
0.4865316618450679, 0.12436408588738423
0.5038572806171668, 0.11956187633642168
0.5211828993892667, 0.11716077156094062
0.5385085181613656, 0.11355911439771926
0.5558341369334645, 0.11115800962223821
0.5731597557055634, 0.10695607626514603
0.5904853744776624, 0.10575552387740528
